timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1704063600000000000,2023-12-31T23:00:00.000000000Z,ETHUSDT-LINEAR,9493,425,1438817,16375,491,84,5955,333,120183097,2278.29,54,2278.29,2276.1,273943501241,16.6409,2276.6,12.121,6871481744,"[""layer-1""]"
1704067200000000000,2024-01-01T00:00:00.000000000Z,ETHUSDT-LINEAR,9178,297,1350941,15631,328,84,5665,359,120183097,2295.28,54,2295.28,2281.8,275544703846,16.721,2282.87,12.1346,6998337951,"[""layer-1""]"
1704070800000000000,2024-01-01T01:00:00.000000000Z,ETHUSDT-LINEAR,9223,342,1270485,15845,460,84,5546,35,120183097,2298.62,58,2298.62,2293.78,276155989317,16.6717,2295.24,11.9631,7025581137,"[""layer-1""]"
1704074400000000000,2024-01-01T02:00:00.000000000Z,ETHUSDT-LINEAR,8756,216,1274207,14998,307,85,5367,42,120183097,2299.08,58,2299.08,2292.12,275958745296,16.5965,2297.48,11.5629,6978558753,"[""layer-1""]"
1704078000000000000,2024-01-01T03:00:00.000000000Z,ETHUSDT-LINEAR,8456,164,1350005,14844,299,84,5308,351,120183097,2280.03,38,2280.03,2272.32,274127820581,16.5274,2280.03,11.8609,7023488792,"[""layer-1""]"
1704081600000000000,2024-01-01T04:00:00.000000000Z,ETHUSDT-LINEAR,8284,203,1449528,14532,379,85,5315,284,120183097,2273.69,39,2273.69,2267.02,272789004480,16.5578,2273.63,11.6603,7112292582,"[""layer-1""]"
1704085200000000000,2024-01-01T05:00:00.000000000Z,ETHUSDT-LINEAR,8256,247,1377787,14609,364,85,5401,268,120183097,2279.45,56,2279.45,2274.07,273598669433,16.6036,2279.45,11.8943,7125476761,"[""layer-1""]"
1704088800000000000,2024-01-01T06:00:00.000000000Z,ETHUSDT-LINEAR,8655,624,1407601,15109,713,86,5748,274,120183097,2278.9,43,2278.9,2274.42,273688342020,16.6531,2274.42,12.0939,7157649903,"[""layer-1""]"
1704092400000000000,2024-01-01T07:00:00.000000000Z,ETHUSDT-LINEAR,8734,497,1312894,15333,607,85,5863,268,120183925,2286.99,58,2286.99,2282.44,274719304585,16.645,2282.44,11.9813,7043774838,"[""layer-1""]"
1704096000000000000,2024-01-01T08:00:00.000000000Z,ETHUSDT-LINEAR,8642,230,1311195,15187,302,85,5654,295,120183925,2279.82,43,2279.82,2279.82,274235168729,16.5866,2279.82,11.9835,6998144720,"[""layer-1""]"
1704099600000000000,2024-01-01T09:00:00.000000000Z,ETHUSDT-LINEAR,8573,188,1296315,15210,357,85,5768,266,120183925,2295.76,57,2295.76,2286.55,275154719596,16.6201,2286.55,11.9586,6836910570,"[""layer-1""]"
1704103200000000000,2024-01-01T10:00:00.000000000Z,ETHUSDT-LINEAR,8926,623,1332297,15593,814,85,5804,285,120183925,2301.09,56,2301.09,2299.01,276287093842,16.6319,2300.11,11.8545,6755700515,"[""layer-1""]"
1704106800000000000,2024-01-01T11:00:00.000000000Z,ETHUSDT-LINEAR,8851,387,1463018,15396,454,85,5731,304,120183925,2300.76,40,2300.76,2299.68,276624087689,16.6319,2300.76,11.7512,6643405593,"[""layer-1""]"
1704110400000000000,2024-01-01T12:00:00.000000000Z,ETHUSDT-LINEAR,9137,696,1478767,15802,864,86,6002,370,120183925,2307.94,55,2306.69,2300.41,277424053525,16.6756,2303.44,11.6656,6590600659,"[""layer-1""]"
1704114000000000000,2024-01-01T13:00:00.000000000Z,ETHUSDT-LINEAR,8743,383,1402416,15351,571,86,5617,34,120183925,2306.19,54,2306.19,2299.02,277189467523,16.6552,2300.48,11.438,6436809377,"[""layer-1""]"
1704117600000000000,2024-01-01T14:00:00.000000000Z,ETHUSDT-LINEAR,9017,415,1411938,16036,639,85,6051,29,120183925,2301.13,39,2301.13,2296.64,276719168778,16.5994,2301.13,11.4449,6465631405,"[""layer-1""]"
1704121200000000000,2024-01-01T15:00:00.000000000Z,ETHUSDT-LINEAR,9482,652,1840787,16741,914,86,6623,31,120183925,2312.24,62,2312.24,2300.55,277771834161,16.699,2301.6,11.9416,6507273379,"[""layer-1""]"
1704124800000000000,2024-01-01T16:00:00.000000000Z,ETHUSDT-LINEAR,9309,493,1872806,16957,873,84,6647,35,120183925,2312.41,63,2312.41,2308.65,277970207045,16.6322,2312.41,11.7103,6607001871,"[""layer-1""]"
1704128400000000000,2024-01-01T17:00:00.000000000Z,ETHUSDT-LINEAR,9610,627,1699262,17333,820,86,6686,21,120183925,2310.08,61,2310.08,2309.47,277917407169,16.6518,2309.86,11.7477,6587962046,"[""layer-1""]"
1704132000000000000,2024-01-01T18:00:00.000000000Z,ETHUSDT-LINEAR,9501,338,1560271,17142,469,85,6607,30,120183925,2329.14,67,2329.14,2313.89,279925722836,16.7364,2313.89,11.623,6753799088,"[""layer-1""]"
1704135600000000000,2024-01-01T19:00:00.000000000Z,ETHUSDT-LINEAR,9887,375,1503291,17906,518,85,6999,33,120183925,2335.98,69,2335.98,2323.62,280576857411,16.6748,2327.59,11.519,6858828874,"[""layer-1""]"
1704139200000000000,2024-01-01T20:00:00.000000000Z,ETHUSDT-LINEAR,9861,392,1670169,17719,620,85,6763,37,120183925,2343.84,71,2343.84,2336.85,281277413072,16.6004,2338.25,11.5444,6985969681,"[""layer-1""]"
1704142800000000000,2024-01-01T21:00:00.000000000Z,ETHUSDT-LINEAR,10051,481,1746925,17986,661,85,6955,29,120183925,2335.87,69,2335.87,2333.75,280619677730,16.5281,2335.87,11.7526,7043404120,"[""layer-1""]"
1704146400000000000,2024-01-01T22:00:00.000000000Z,ETHUSDT-LINEAR,10105,394,1542874,17864,539,85,6681,60,120183925,2332.06,70,2332.06,2325.81,280070791513,16.5197,2332.06,11.7708,6841385465,"[""layer-1""]"
1704150000000000000,2024-01-01T23:00:00.000000000Z,ETHUSDT-LINEAR,10159,322,1545195,18088,423,85,6695,63,120183925,2352.21,76,2352.21,2334.77,281462411362,16.6106,2334.77,11.8726,6906765990,"[""layer-1""]"
1704153600000000000,2024-01-02T00:00:00.000000000Z,ETHUSDT-LINEAR,9476,214,1395331,16604,235,85,6064,44,120183925,2371.53,74,2371.53,2348.89,284814871380,16.6372,2352.59,11.4604,7569575353,"[""layer-1""]"
1704157200000000000,2024-01-02T01:00:00.000000000Z,ETHUSDT-LINEAR,9508,416,1402036,16972,685,85,6176,57,120183925,2396.75,71,2396.75,2372.99,288184959257,16.5867,2390.19,11.642,8121125169,"[""layer-1""]"
1704160800000000000,2024-01-02T02:00:00.000000000Z,ETHUSDT-LINEAR,9437,507,1330914,16785,719,85,6181,63,120183925,2385.08,63,2384.21,2376.31,286366709159,16.5269,2378.92,11.7228,8345009786,"[""layer-1""]"
1704164400000000000,2024-01-02T03:00:00.000000000Z,ETHUSDT-LINEAR,9288,190,1162929,16616,297,84,6169,53,120183925,2384.95,61,2384.95,2374.94,286134868603,16.3983,2383.0,11.7151,8501401972,"[""layer-1""]"
1704168000000000000,2024-01-02T04:00:00.000000000Z,ETHUSDT-LINEAR,9386,491,1271201,16658,735,84,6325,78,120183925,2384.23,61,2384.23,2381.36,286497635929,16.4107,2384.23,11.8523,8556632859,"[""layer-1""]"
1704171600000000000,2024-01-02T05:00:00.000000000Z,ETHUSDT-LINEAR,9346,213,1215740,16755,292,84,6397,96,120183925,2383.13,62,2383.13,2379.65,286459698186,16.4355,2383.13,11.8654,8691757344,"[""layer-1""]"
1704175200000000000,2024-01-02T06:00:00.000000000Z,ETHUSDT-LINEAR,9666,639,1503865,17170,859,84,6519,79,120185071,2378.64,61,2378.64,2376.72,286062665845,16.4315,2378.64,12.022,8821141704,"[""layer-1""]"
1704178800000000000,2024-01-02T07:00:00.000000000Z,ETHUSDT-LINEAR,10073,751,1528624,17512,868,85,6551,68,120185071,2386.27,67,2386.27,2376.08,286989419968,16.4814,2376.08,11.87,9055960514,"[""layer-1""]"
1704182400000000000,2024-01-02T08:00:00.000000000Z,ETHUSDT-LINEAR,10080,512,1394485,17755,653,84,6577,45,120185071,2427.72,69,2427.72,2383.34,292106519067,16.6974,2387.86,11.8574,9994341961,"[""layer-1""]"
1704186000000000000,2024-01-02T09:00:00.000000000Z,ETHUSDT-LINEAR,10251,342,1486220,18081,514,84,6676,63,120185071,2426.75,64,2426.75,2414.77,291418854929,16.533,2426.75,11.6732,10319318333,"[""layer-1""]"
1704189600000000000,2024-01-02T10:00:00.000000000Z,ETHUSDT-LINEAR,10199,384,1571759,18325,549,84,6644,64,120185071,2409.19,64,2409.19,2395.98,289692267628,16.4529,2409.19,11.684,10546750679,"[""layer-1""]"
1704193200000000000,2024-01-02T11:00:00.000000000Z,ETHUSDT-LINEAR,10625,613,1566297,18628,763,85,6726,75,120185071,2398.35,64,2398.35,2384.07,288232189321,16.426,2398.35,11.7861,10847196598,"[""layer-1""]"
1704196800000000000,2024-01-02T12:00:00.000000000Z,ETHUSDT-LINEAR,10446,253,1670920,18300,367,85,6725,59,120185071,2402.81,68,2402.81,2386.54,288648387926,16.5025,2392.31,11.5392,11098584377,"[""layer-1""]"
