timestamp_nano,timestamp_iso,symbol,contributors_active,contributors_created,interactions,posts_active,posts_created,sentiment,spam,alt_rank,circulating_supply,close,galaxy_score,high,low,market_cap,market_dominance,open,social_dominance,volume_24h,market_categories
1704063600000000000,2023-12-31T23:00:00.000000000Z,SOLUSDT-LINEAR,8318,181,1212019,15532,213,83,5539,330,429295665,100.59,40,100.59,100.27,43047476934,2.615,100.59,11.497,1748630533,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704067200000000000,2024-01-01T00:00:00.000000000Z,SOLUSDT-LINEAR,8069,230,1194449,14940,264,84,5282,364,429898515,101.99,57,101.99,101.51,43927010465,2.6656,101.51,11.5982,1783322288,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704070800000000000,2024-01-01T01:00:00.000000000Z,SOLUSDT-LINEAR,7967,266,1081499,14892,352,84,5204,7,429898429,102.48,62,102.48,101.87,44056045667,2.6597,101.87,11.2436,1878787276,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704074400000000000,2024-01-01T02:00:00.000000000Z,SOLUSDT-LINEAR,7998,281,3320004,14826,433,87,5246,5,429898349,103.73,63,103.73,103.41,44579559668,2.6811,103.73,11.4303,1835412084,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704078000000000000,2024-01-01T03:00:00.000000000Z,SOLUSDT-LINEAR,7511,216,1172898,14183,369,84,5154,6,429898275,102.98,56,102.98,102.77,44246029494,2.6676,102.98,11.3327,1807268327,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704081600000000000,2024-01-01T04:00:00.000000000Z,SOLUSDT-LINEAR,7510,307,1037633,14186,537,84,5199,13,429898182,102.23,56,102.23,101.96,43914324934,2.6655,102.23,11.3827,1807030863,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704085200000000000,2024-01-01T05:00:00.000000000Z,SOLUSDT-LINEAR,7437,213,969827,14179,354,85,5285,260,429898080,102.29,62,102.29,101.69,44028706788,2.6719,102.29,11.5442,1786988852,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704088800000000000,2024-01-01T06:00:00.000000000Z,SOLUSDT-LINEAR,7486,266,1020916,14401,345,84,5314,264,429898008,102.14,42,102.14,101.71,43876422368,2.6698,101.71,11.5272,1762303343,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704092400000000000,2024-01-01T07:00:00.000000000Z,SOLUSDT-LINEAR,7700,309,987999,14918,609,83,5473,290,429897926,102.72,57,102.72,102.12,44036726514,2.6682,102.43,11.6571,1701944403,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704096000000000000,2024-01-01T08:00:00.000000000Z,SOLUSDT-LINEAR,7833,305,1088132,15187,735,80,5330,331,429897836,102.32,42,102.32,102.09,44121072034,2.6686,102.32,11.9835,1663647068,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704099600000000000,2024-01-01T09:00:00.000000000Z,SOLUSDT-LINEAR,7885,301,1074592,14986,710,83,5549,268,429897746,103.07,59,103.07,102.09,44090097658,2.6632,102.56,11.7825,1656433248,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704103200000000000,2024-01-01T10:00:00.000000000Z,SOLUSDT-LINEAR,8228,643,1149986,15963,1601,80,5390,21,429897678,104.27,58,104.27,103.97,44767228875,2.6949,103.97,12.1357,1701643105,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
1704106800000000000,2024-01-01T11:00:00.000000000Z,SOLUSDT-LINEAR,8008,362,1204863,15131,674,82,5386,23,429897601,104.0,42,104.0,103.98,44667370343,2.6856,104.0,11.549,1720379050,"[""defi"", ""layer-1"", ""solana-ecosystem"", ""made-in-usa""]"
